id,ime_recepta,vrsta_jedi,dan,mesec,leto,cas_priprave,tezavnost
20317,Makova tortica z mascarpone sirom,sladice: torte,28,3,2015,60 minut,3
20318,Chia puding z mangom,sladice: pudingi,30,3,2015,15 minut,1
20319,Goveji zrezki v omaki iz koreničja,mesne jedi: govedina,31,3,2015,90 minut,2
20320,Ajdov kolač s suhim sadjem,sladice: pecivo,31,3,2015,60 minut,2
20321,Vranični jušni žličniki,juhe in zakuhe: jušne zakuhe,1,4,2015,45 minut,2
20322,Cvetačni stir fry,eksotika: Kitajska,1,4,2015,30 minut,2
20323,Palačinke iz pečice z Nuttelo in bananami,sladice: palačinke,2,4,2015,45 minut,2
20324,Pilav s svinjino in pečenim česnom,mesne jedi: svinjina,2,4,2015,90 minut,1
20325,Hruškova poslastica,sladice: ostalo,3,4,2015,60 minut,1
20326,Pašteta dimljene šunke z marmelado rdeče čebule in hrenovo peno,predjedi: hladne,3,4,2015,45 minut,2
20327,Sočen in hrustljav jagenček v pečici,mesne jedi: drobnica,6,4,2015,240 minut,2
20328,Poslastica iz katerega koli sadja,sladice: ostalo,6,4,2015,15 minut,1
20329,Pečeno kosilo po moje,mesne jedi: perutnina,7,4,2015,90 minut,4
20330,Ocvrte miške,sladice: pecivo,7,4,2015,45 minut,2
20331,Rožičev puding; ki pogreje ,sladice: pudingi,7,4,2015,5 minut,1
20332,Testenine s tunino omako,testenine,8,4,2015,30 minut,1
20333,Carski praženec 2015,sladice: ostalo,8,4,2015,30 minut,1
20334,Pečena ajdova kaša,gobje jedi,8,4,2015,90 minut,2
20337,Nutellina zvezda,sladice: ostalo,11,4,2015,75 minut,3
20338,Fantazija testenin in klobase,testenine,11,4,2015,60 minut,3
20339,Piškotna torta z Nutello,sladice: torte,12,4,2015,60 minut,2
20340,Torta Saint Honore,sladice: torte,12,4,2015,90 minut,4
20341,Navaden biskvit,sladice: pecivo,13,4,2015,30 minut,1
20342,Rozinino bananino pecivo,sladice: pecivo,13,4,2015,30 minut,2
20343,Anine rezine,sladice: pecivo,13,4,2015,90 minut,1
20344,Pudingove rezine,sladice: pecivo,14,4,2015,30 minut,2
20345,Pirine palačinke s stopljenim sirom,sirove jedi,14,4,2015,45 minut,2
20346,Skutina pita,sladice: pecivo,15,4,2015,60 minut,2
20347,Bučkin polpet »ala fasulas«,zelenjavne jedi,15,4,2015,30 minut,2
20348,Masleni piščanec s kuskusom,mesne jedi: perutnina,16,4,2015,30 minut,2
20349,Topla krompirjevo hrenova omaka s hrenovko,mesne jedi: ostalo,16,4,2015,75 minut,1
20350,Riževa solata s tuno in kislo smetano,solate,17,4,2015,45 minut,1
20351,Beljakov dvopek,sladice: ostalo,17,4,2015,45 minut,2
20352,Pečeni šparglji z makaroni,zelenjavne jedi,20,4,2015,60 minut,2
20355,Piščančji tunel ,mesne jedi: perutnina,21,4,2015,75 minut,2
20356,Ovseni snickers,sladice: pecivo,21,4,2015,90 minut,2
20357,Čemaževa juha s krompirjem in slanino,juhe in zakuhe: ostale juhe,21,4,2015,45 minut,2
20358,Jabolčno - skutin štrudelj z dodatkom banan,sladice: pecivo,22,4,2015,15 minut,1
20359,Planica puding,sladice: pudingi,22,4,2015,90 minut,2
20360,Tunini polpeti Ekspres,morska hrana: ribe,22,4,2015,15 minut,1
20361,Ameriške palačinke,sladice: palačinke,23,4,2015,30 minut,3
20363,Najboljše domače testo za pizzo,kruh,23,4,2015,60 minut,2
20364,Kraški kruhki,kruh,24,4,2015,15 minut,1
20365,Sirup za zdravje,ozimnica: pijače,30,4,2015,4+ ur,2
20366,Čemaževo sirova juha,juhe in zakuhe: ostale juhe,29,4,2015,15 minut,1
20367,Prebranac po dolenjsko,enolončnice,29,4,2015,180 minut,2
20368,Čokoladni piškoti s čilijem,sladice: piškoti,29,4,2015,45 minut,2
20369,Masleni skutini vzhajanči,sladice: pecivo,30,4,2015,45 minut,1
