id,ime_recepta,ime_uporabnika,vrsta_jedi,dan,mesec,leto,cas_priprave,tezavnost
20143,Domači prijatelj,piskrcek,sladice: pecivo,18,12,2014,60 minut,2
20144,Kokosovi poljubčki,piskrcek,sladice: piškoti,18,12,2014,75 minut,2
20145,Ingverjevi medeni piškotki,Evvva,sladice: piškoti,19,12,2014,30 minut,2
20146,Rustikalni piškoti s kakavom; goji jagodami in arašidi ,Evvva,sladice: piškoti,22,12,2014,60 minut,2
20147,Čajni avokado piškotki s konopljo,Evvva,sladice: piškoti,22,12,2014,60 minut,2
20148,Toffifee mafini,Evvva,sladice: pecivo,22,12,2014,60 minut,2
20149,Panettone,gobica10,sladice: pecivo,23,12,2014,240 minut,4
20150,Vodne blazinice,piskrcek,sladice: piškoti,23,12,2014,120 minut,3
20151,Božični čokoladni liker,kambro,napitki: alkoholni,23,12,2014,30 minut,1
20152,Piškoti stare mame Kissinger,ZvonkaK,sladice: piškoti,24,12,2014,120 minut,2
20153,Ingverjevi piškoti,PetraPan,sladice: piškoti,24,12,2014,30 minut,1
20154,Zelenjavna torta z rdečim zeljem in orehi ter konjakovo smetano,Brusnica,zelenjavne jedi,24,12,2014,90 minut,2
20155,Makov nadev za potico,BlizuMesta,ostale jedi: dodatki jedem,25,12,2014,30 minut,2
20156,Rožičev nadev za potico ,BlizuMesta,ostale jedi: dodatki jedem,25,12,2014,30 minut,2
20157,Puranji zrezki v smetanovi omaki,BlizuMesta,mesne jedi: perutnina,26,12,2014,30 minut,2
20159,Kako porabiti beljake,bananasplit14,sladice: pecivo,27,12,2014,45 minut,1
20160,Kuhano vino,P_89,napitki: alkoholni,27,12,2014,30 minut,1
20161,"After eight" pita ,SMARTY1,sladice: pecivo,27,12,2014,150 minut,2
20162,Torta Ljubljana po prekmursko,Evvva,sladice: torte,29,12,2014,60 minut,3
20163,Bananino - čokoladni shake,lanakuft,napitki: brezalkoholni,29,12,2014,75 minut,1
20164,Ponarejeni cake popsi,piskrcek,sladice: ostalo,29,12,2014,90 minut,2
20165,Krompirjeva solata s feto; kaprami in olivami ,mamamia,solate,29,12,2014,30 minut,2
20166,Parmigiana z jajčevci,Piskotka,zelenjavne jedi,30,12,2014,30 minut,3
20167,Kolač novoletno - božični ,La Parisienne,sladice: ostalo,2,1,2015,75 minut,1
20168,Solata; da te kap ,kristi_22,solate,30,12,2014,15 minut,2
20169,Polnjeni kalamari malo drugače,Janja,morska hrana: ostalo,30,12,2014,60 minut,3
20170,Vroče hladen vegetarijanski krožnik,PetraPan,zelenjavne jedi,30,12,2014,60 minut,1
20171,Krvavice z zapečenim kislim zeljem,sarabande,mesne jedi: svinjina,2,1,2015,120 minut,1
20172,Bučna rulada,Kanna1984,sladice: pecivo,2,1,2015,45 minut,2
20173,Zelenka« ala fasulas,fasulas,sladice: pecivo,3,1,2015,45 minut,1
20174,Beljakov kolač,posavka,sladice: pecivo,3,1,2015,60 minut,3
20175,Sirup vitamin C,MMATEYKA,napitki: brezalkoholni,3,1,2015,30 minut,1
20176,Solatna bomba 2 »ala fasulas«,fasulas,solate,3,1,2015,60 minut,1
20177,Pravi istrski taco (ali pešt),natalikuha,ostale jedi: dodatki jedem,5,1,2015,15 minut,1
20178,Twix,SMARTY1,sladice: palačinke,5,1,2015,120 minut,2
20180,Tortelini z gobami,Sanja_G,testenine,6,1,2015,120 minut,2
20181,Bananino - karamelna pita (Banoffee) ,strukla,sladice: ostalo,6,1,2015,60 minut,2
20182,Pudingovo pecivo ,pekicabest,sladice: pudingi,6,1,2015,60 minut,1
20183,Zaljubljeno testo,SMARTY1,kruh,7,1,2015,150 minut,2
20184,Bananina torta,Victor,sladice: torte,7,1,2015,60 minut,1
20185,Polpeti na moj način,smajo,mesne jedi: mešano meso,7,1,2015,60 minut,2
20186,Ajdova torta z ribezovo marmelado,marta,sladice: torte,7,1,2015,180 minut,1
20187,Brstični ohrovt s poširanim jajcem na kruhu,T as Tasty,jajčne jedi: ostalo,8,1,2015,30 minut,3
20188,Tirolski knedli z gosto čebulno juho oz. "Kasspeckknödelsuppe" ,Ančikaa,enolončnice,8,1,2015,75 minut,3
20189,Domači ajvar,boštjanno,ozimnica: slani shranki,9,1,2015,180 minut,2
20190,Domač čokoladni namaz,Nejcha,ostale jedi: dodatki jedem,9,1,2015,15 minut,1
20191,Piščančja nabodala z ananasom,Dunchi,predjedi: tople,10,1,2015,60 minut,1
20192,Fokača / Focaccia,Receptomanka,kruh,10,1,2015,15 minut,1
20193,Bajadera,dorca,sladice: ostalo,10,1,2015,120 minut,1
20194,Trideset minutne bombetke,Sweetness Bakery,kruh,12,1,2015,45 minut,1
20195,Ajdove rezine,tibe,sladice: pecivo,12,1,2015,60 minut,2
20196,Zelje s kvinojo,Merlisa,zelenjavne jedi,13,1,2015,30 minut,1
20197,Pečene polnjene palačinke,zes5ana,sladice: palačinke,13,1,2015,45 minut,1
20198,Kakijeve čašice,pestoja,sladice: ostalo,14,1,2015,45 minut,3
20199,Okusna ponev z lignji,Sweetness Bakery,morska hrana: ostalo,14,1,2015,45 minut,2
20200,Burrito z jajci,T as Tasty,jajčne jedi: ostalo,16,1,2015,30 minut,3
20201,Kunec z mladim grahom in šampinjoni,Levinjav,mesne jedi: ostalo,16,1,2015,90 minut,3
20202,Pražena telečja jetra s krompirjem po Zadarsko,Levinjav,mesne jedi: notranji deli,17,1,2015,45 minut,2
20203,Testeninčica,pestoja,solate,17,1,2015,30 minut,1
20204,Naan,marta,kruh,20,1,2015,30 minut,2
20205,Zmajev kolač,marta,sladice: pecivo,20,1,2015,75 minut,2
20206,Rožičevi muffini s čokolado,P3T4A,sladice: pecivo,20,1,2015,45 minut,1
20207,Muffini s pistacijami,marta,sladice: pecivo,21,1,2015,60 minut,2
20208,Muffini iz ajdove moke,marta,sladice: pecivo,21,1,2015,60 minut,2
20209,Kavna torta,marta,sladice: torte,21,1,2015,60 minut,2
20210,Tomov souffle (sufle) ,SUFLE,sladice: ostalo,21,1,2015,30 minut,2
20211,Ajdova torta z ribezovo marmelado; lešniki in jabolki ,marta,sladice: torte,22,1,2015,120 minut,3
20212,Kivi in mascarpone pita,T as Tasty,sladice: torte,22,1,2015,75 minut,2
20213,Koruzni kruh,sandra68,kruh,22,1,2015,150 minut,3
20214,Pecivo s srcem,marta,sladice: pecivo,23,1,2015,120 minut,2
