id,ime_recepta,vrsta_jedi,dan,mesec,leto,cas_priprave
296,Bio rogljièki,sladice: piškoti,1,2,2000,ni doloèen
297,Biskvit,sladice: pecivo,1,2,2000,ni doloèen
298,Biskvit s kislo smetano,sladice: pecivo,22,11,1998,ni doloèen
299,Biskvit s skuto in kislo smetano,sladice: pecivo,26,10,1999,ni doloèen
300,Biskvitna potica,sladice: potice,21,3,2000,ni doloèen
301,Blejska grmada,sladice: pecivo,29,3,2000,60 minut
302,Blejske kremne rezine,sladice: pecivo,6,4,2000,ni doloèen
303,Božièna torta,sladice: torte,29,12,1998,ni doloèen
304,Breskve na žaru,sladice: ostalo,24,6,1999,ni doloèen
305,Brezalkoholna bovla,sladice: kompoti,16,6,1998,ni doloèen
306,Brizgano pecivo,sladice: pecivo,29,11,1999,ni doloèen
307,Brizgano pecivo,sladice: pecivo,29,11,1999,ni doloèen
308,Coca cola rezine,sladice: pecivo,20,12,1999,ni doloèen
309,Èešnjeva pita,sladice: pecivo,20,7,2000,ni doloèen
310,Èešnjeve rezine,sladice: pecivo,22,5,1998,ni doloèen
311,Èokoladna nebesa,sladice: pecivo,24,2,1999,ni doloèen
312,Èokoladna torta,sladice: torte,22,4,1998,ni doloèen
313,Èokoladni shake,napitki: brezalkoholni,28,8,1999,ni doloèen
314,Èokoladni sladoled,sladice: sladoledi,1,9,1998,ni doloèen
315,Diplomatski puding,sladice: pudingi,21,9,2000,ni doloèen
316,Domaèa kasata,sladice: sladoledi,19,7,1999,ni doloèen
317,Eksotièna bajadera,sladice: ostalo,24,2,1999,ni doloèen
318,Fernandelni,sladice: pecivo,17,2,2000,ni doloèen
319,Flambirano sadje,sladice: ostalo,22,6,1998,ni doloèen
320,Florentiner,sladice: piškoti,21,12,1998,ni doloèen
321,Frapirane hruške,sladice: ostalo,23,11,1998,ni doloèen
322,Germknoedel,sladice: pecivo,21,12,1998,ni doloèen
323,Halva,sladice: pecivo,1,12,1998,ni doloèen
324,Indijanèki,sladice: pecivo,13,10,1999,ni doloèen
325,Indijanèki,sladice: pecivo,11,8,1999,ni doloèen
326,Jabolène kremšnite,sladice: pecivo,30,10,1999,ni doloèen
327,Jabolèni kolaè,sladice: pecivo,14,11,1999,ni doloèen
328,Jabolèni kolaè z rumovo smetano,sladice: pecivo,25,12,1998,ni doloèen
329,Jaffa pecivo,sladice: pecivo,26,1,1998,ni doloèen
330,Jagode v kozarcu,sladice: ostalo,16,6,1999,ni doloèen
331,Jagodov napitek,napitki: brezalkoholni,19,6,1999,ni doloèen
332,Ježki,sladice: pecivo,22,11,1998,ni doloèen
333,Jogurtove miške,sladice: pecivo,8,2,1999,ni doloèen
334,Jogurtovo testo,sladice: pecivo,13,10,1998,ni doloèen
338,Kavne rezine,sladice: pecivo,7,8,1998,ni doloèen
339,Kavni trikotniki,sladice: piškoti,21,12,1998,ni doloèen
340,Keksi,sladice: piškoti,5,3,2000,ni doloèen
341,Kokosov sladoled,sladice: sladoledi,22,6,1998,ni doloèen
